Date,Prev Close,Open,High,Low,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble
2018-12-06,351.23526,352.82193,359.08362,344.49698,353.18604,358.14194,2268606.8,78076290000000.0,1142402.2,0.44662258
2018-12-07,354.33673,355.94385,362.34308,347.58377,356.3826,361.33646,2259792.0,78585790000000.0,1137801.2,0.44612166
2018-12-10,357.44333,359.07196,365.6225,350.68344,359.58734,364.5301,2250828.2,79110690000000.0,1133253.6,0.4456244
2018-12-11,360.5122,362.16257,368.87714,353.75333,362.7557,367.67825,2241824.8,79645520000000.0,1128824.2,0.44513956
2018-12-12,363.44968,365.1239,372.0246,356.70605,365.79858,370.67834,2233040.0,80200840000000.0,1124830.4,0.44468188
2018-12-13,366.24716,367.94278,375.03555,359.5258,368.6956,373.5281,2224545.8,80744240000000.0,1121062.2,0.44424832
2018-12-14,368.85965,370.57608,377.86737,362.1695,371.4039,376.17966,2216481.5,81273650000000.0,1117640.4,0.4438428
2018-12-17,371.2304,372.9682,380.46738,364.5838,373.86813,378.57214,2209001.8,81791020000000.0,1114722.5,0.4434732
2018-12-18,373.35577,375.11176,382.81177,366.7577,376.07516,380.70935,2202147.0,82266210000000.0,1112105.1,0.44313952
2018-12-19,375.2416,377.01248,384.90057,368.6942,378.02982,382.59995,2195900.2,82689290000000.0,1109718.5,0.4428419
2018-12-20,376.89737,378.6808,386.73746,370.3996,379.7413,384.25696,2190259.8,83051490000000.0,1107501.2,0.4425786
2018-12-21,378.33362,380.12778,388.331,371.8826,381.22116,385.6929,2185213.8,83350930000000.0,1105430.6,0.44234866
2018-12-24,379.5067,381.31488,389.6595,373.10846,382.43698,386.85492,2180886.5,83618570000000.0,1103848.6,0.44215778
2018-12-26,380.47202,382.29083,390.7546,374.12213,383.4316,387.809,2177157.5,83827420000000.0,1102400.8,0.44199863
2018-12-27,381.2579,383.0863,391.6507,374.95282,384.2378,388.583,2173957.8,83986785000000.0,1101100.9,0.4418656
2018-12-28,381.91302,383.74976,392.39017,375.64496,384.90286,389.23062,2171190.8,84091680000000.0,1099806.6,0.44174895
2018-12-31,382.4891,384.3335,393.02347,376.2481,385.47964,389.80692,2168716.0,84144750000000.0,1098411.1,0.44164166
2019-01-01,383.05542,384.9067,393.61823,376.82877,386.03827,390.38565,2166328.8,84150250000000.0,1096766.1,0.4415368
2019-01-02,383.68716,385.5457,394.2544,377.46173,386.65796,391.04437,2163786.0,84121840000000.0,1094769.9,0.4414267
2019-01-03,384.40988,386.2778,394.96878,378.17548,387.37006,391.8059,2161005.5,84080470000000.0,1092504.8,0.44131052
2019-01-04,385.2278,387.10873,395.77905,378.97903,388.1849,392.66956,2157973.0,84050490000000.0,1090119.9,0.4411893
2019-01-07,386.1424,388.0395,396.6949,379.87704,389.1054,393.63303,2154679.2,84046670000000.0,1087693.0,0.44106224
2019-01-08,387.12982,389.0467,397.704,380.85156,390.11038,394.66574,2151176.8,84085420000000.0,1085379.4,0.4409307
2019-01-09,388.1131,390.05347,398.74005,381.8323,391.125,395.6822,2147688.0,84179140000000.0,1083444.6,0.4408039
2019-01-10,389.07278,391.03436,399.7647,382.79385,392.118,396.66748,2144309.2,84301530000000.0,1081733.2,0.44068316
2019-01-11,389.9421,391.9244,400.7198,383.67508,393.02612,397.54852,2141212.8,84457540000000.0,1080455.5,0.44057646
2019-01-14,390.63156,392.63428,401.519,384.39062,393.75925,398.22958,2138667.0,84644905000000.0,1079823.9,0.44049287
2019-01-15,391.1444,393.1615,402.14194,384.93597,394.30792,398.7221,2136667.8,84826904000000.0,1079554.4,0.44043052
2019-01-16,391.46063,393.48685,402.561,385.28845,394.6503,399.00882,2135289.5,84986980000000.0,1079612.6,0.44039065
2019-01-17,391.58344,393.61356,402.76895,385.44708,394.7874,399.09753,2134553.8,85107760000000.0,1079898.0,0.44037083
2019-01-18,391.5698,393.5992,402.81534,385.4645,394.77466,399.0516,2134266.8,85177370000000.0,1080191.6,0.440363
2019-01-21,391.49286,393.51715,402.76276,385.40753,394.68335,398.9529,2134218.5,85183180000000.0,1080238.4,0.4403582
2019-01-22,391.4318,393.44882,402.69177,385.35312,394.597,398.88522,2134145.0,85131190000000.0,1079891.0,0.44034922
2019-01-23,391.38004,393.39346,402.6183,385.302,394.52225,398.83493,2134065.8,85057380000000.0,1079439.4,0.4403404
2019-01-24,391.35776,393.37146,402.5722,385.2774,394.48215,398.81915,2133905.8,84980610000000.0,1078940.4,0.4403297
2019-01-25,391.35254,393.37097,402.55322,385.27222,394.4674,398.81967,2133678.2,84920244000000.0,1078535.1,0.44031957
2019-01-28,391.3517,393.37708,402.54913,385.27438,394.46304,398.82205,2133432.2,84878690000000.0,1078251.0,0.44031128
2019-01-29,391.3244,393.35574,402.52948,385.254,394.4362,398.79315,2133245.2,84860330000000.0,1078166.9,0.4403159
2019-01-30,391.196,393.2338,402.432,385.1433,394.31573,398.6494,2133330.2,84876570000000.0,1078552.5,0.44034117
2019-01-31,390.8295,392.87686,402.1378,384.81555,393.9702,398.23895,2134126.2,84944930000000.0,1079891.0,0.4403987
2019-02-01,390.114,392.16962,401.52582,384.16013,393.27917,397.44788,2136016.0,85045280000000.0,1082306.4,0.44049808
2019-02-04,389.00925,391.06598,400.52826,383.1281,392.18787,396.24316,2139182.5,85133370000000.0,1085593.6,0.4406399
2019-02-05,387.44162,389.49292,399.0664,381.6464,390.6211,394.55,2143838.0,85192070000000.0,1089844.2,0.44083267
2019-02-06,385.42755,387.4643,397.13638,379.7236,388.58694,392.39328,2149941.2,85188185000000.0,1094799.2,0.4410723
2019-02-07,382.99075,385.00372,394.74686,377.37708,386.10538,389.80505,2157415.8,85096060000000.0,1100247.2,0.44135675
2019-02-08,380.1751,382.15683,391.93414,374.64584,383.22134,386.83582,2166134.8,84905330000000.0,1106039.9,0.4416828
2019-02-11,377.02036,378.96722,388.74368,371.56992,379.9808,383.52637,2175951.2,84624085000000.0,1112158.2,0.4420469
