,league,year,split,date,game,side,position,playername,teamname,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,doublekills,triplekills,quadrakills,pentakills,team kpm,ckpm,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,goldat15,xpat15,csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15
236,LEC,2024,Winter,13/1/2024 17:06,1,Red,bot,Exakick,SK Gaming,Jhin,LeBlanc,Rumble,Caitlyn,Renata Glasc,Rell,2080,1,5,1,5,2.0,0.0,0.0,0.0,0.4615,0.5769,11835,341.3942,0.173323,230.8269,148.0096,23,0.6635,9,0.2596,10,43,1.2404,15014,10495,302.7404,0.227297,13800,,314.0,312.0,2,,,9.0577,3182.0,3421.0,85.0,-212.0,-478.0,-9.0,0.0,0.0,0.0,4972.0,6283.0,142.0,-639.0,-875.0,-13.0,0.0,0.0,0.0
237,LEC,2024,Winter,13/1/2024 17:06,1,Red,sup,Doss,SK Gaming,Bard,LeBlanc,Rumble,Caitlyn,Renata Glasc,Rell,2080,1,1,0,14,0.0,0.0,0.0,0.0,0.4615,0.5769,7986,230.3654,0.116954,313.6731,343.4712,89,2.5673,23,0.6635,14,152,4.3846,9076,4557,131.4519,0.0986962,7850,,31.0,31.0,0,,,0.8942,2365.0,2554.0,12.0,278.0,397.0,2.0,0.0,2.0,0.0,3550.0,3267.0,14.0,230.0,143.0,-2.0,0.0,3.0,0.0
238,LEC,2024,Winter,13/1/2024 17:06,1,Blue,team,,Rogue,,Jax,Nocturne,Kalista,Jayce,Renekton,2080,0,4,16,13,0.0,0.0,0.0,0.0,0.1154,0.5769,58731,1694.1635,,2783.4808,2783.25,134,3.8654,56,1.6154,18,262,7.5577,55881,33287,960.2019,,52750,-0.13233,,948.0,202,,,33.1731,14859.0,18839.0,335.0,-883.0,-478.0,5.0,0.0,0.0,2.0,23576.0,30345.0,539.0,-331.0,392.0,28.0,1.0,3.0,3.0
239,LEC,2024,Winter,13/1/2024 17:06,1,Red,team,,SK Gaming,,LeBlanc,Rumble,Caitlyn,Renata Glasc,Rell,2080,1,16,4,43,4.0,1.0,0.0,0.0,0.4615,0.5769,68283,1969.7019,,2835.6058,2871.0577,159,4.5865,73,2.1058,53,342,9.8654,68768,46174,1331.9423,,60225,0.13233,,969.0,275,,,35.8846,15742.0,19317.0,330.0,883.0,478.0,-5.0,2.0,4.0,0.0,23907.0,29953.0,511.0,331.0,-392.0,-28.0,3.0,6.0,1.0
240,LEC,2024,Winter,13/1/2024 18:15,1,Blue,top,Cabochard,Karmine Corp,Gragas,Varus,Poppy,Ashe,Vi,Aatrox,2370,0,0,4,4,0.0,0.0,0.0,0.0,0.2278,0.7342,18820,476.4557,0.175212,596.2532,755.7468,14,0.3544,5,0.1266,6,38,0.962,12705,7595,192.2785,0.186074,12250,,287.0,259.0,28,,,7.2658,3113.0,4966.0,78.0,-71.0,293.0,-6.0,0.0,0.0,0.0,4897.0,8233.0,135.0,-175.0,601.0,-7.0,0.0,0.0,0.0
241,LEC,2024,Winter,13/1/2024 18:15,1,Blue,jng,Bo,Karmine Corp,Jax,Varus,Poppy,Ashe,Vi,Aatrox,2370,0,3,7,1,0.0,0.0,0.0,0.0,0.2278,0.7342,12702,321.5696,0.118254,1191.1139,1259.4937,22,0.557,21,0.5316,12,76,1.9241,12606,7496,189.7722,0.183648,12633,,238.0,45.0,193,,,6.0253,2966.0,3165.0,64.0,-583.0,-265.0,-3.0,0.0,0.0,1.0,4933.0,5696.0,108.0,-227.0,806.0,13.0,1.0,0.0,1.0
242,LEC,2024,Winter,13/1/2024 18:15,1,Blue,mid,SAKEN,Karmine Corp,Azir,Varus,Poppy,Ashe,Vi,Aatrox,2370,0,3,2,4,0.0,0.0,0.0,0.0,0.2278,0.7342,36605,926.7089,0.340787,532.0506,453.1392,18,0.4557,12,0.3038,4,49,1.2405,16297,11187,283.2152,0.274081,16620,,352.0,320.0,32,,,8.9114,3261.0,4781.0,89.0,-214.0,-68.0,2.0,0.0,0.0,0.0,4982.0,7029.0,132.0,-391.0,-779.0,-13.0,0.0,1.0,0.0
243,LEC,2024,Winter,13/1/2024 18:15,1,Blue,bot,Upset,Karmine Corp,Lucian,Varus,Poppy,Ashe,Vi,Aatrox,2370,0,2,2,3,0.0,0.0,0.0,0.0,0.2278,0.7342,28836,730.0253,0.268459,429.9494,281.8228,18,0.4557,11,0.2785,2,39,0.9873,15862,10752,272.2025,0.263423,14650,,373.0,368.0,5,,,9.443,3570.0,3198.0,95.0,478.0,179.0,18.0,0.0,0.0,0.0,5287.0,5186.0,140.0,342.0,249.0,12.0,0.0,1.0,0.0
244,LEC,2024,Winter,13/1/2024 18:15,1,Blue,sup,Targamas,Karmine Corp,Nami,Varus,Poppy,Ashe,Vi,Aatrox,2370,0,1,5,4,0.0,0.0,0.0,0.0,0.2278,0.7342,10450,264.557,0.097288,460.3291,222.3797,69,1.7468,9,0.2278,16,118,2.9873,8897,3787,95.8734,0.0927747,8000,,32.0,32.0,0,,,0.8101,2364.0,2828.0,16.0,-2.0,-36.0,8.0,0.0,0.0,0.0,3420.0,3901.0,22.0,-10.0,-579.0,9.0,0.0,1.0,1.0
245,LEC,2024,Winter,13/1/2024 18:15,1,Red,top,Oscarinin,Fnatic,K'Sante,Rumble,Nocturne,Kalista,Graves,Lee Sin,2370,1,7,0,8,2.0,0.0,0.0,0.0,0.5063,0.7342,15944,403.6456,0.169814,744.6582,2134.8861,17,0.4304,8,0.2025,6,49,1.2405,17541,12431,314.7089,0.240149,17850,,342.0,334.0,8,,,8.6582,3184.0,4673.0,84.0,71.0,-293.0,6.0,0.0,0.0,0.0,5072.0,7632.0,142.0,175.0,-601.0,7.0,0.0,0.0,0.0
